Timestamp	From	To	Message
2021-10-29 11:40:18.103396	derekson	mango	Привет!
2021-10-29 11:40:55.664222	derekson	mango	Я успел?)
2021-10-29 12:03:39.659787	mango	derekson	ку да
2021-10-29 12:03:48.579394	mango	derekson	рокета глючит
2021-12-15 16:36:03.263310	derekson	mango	Привет
2021-12-15 17:25:07.022810	mango	derekson	хай!
2021-12-16 12:36:58.292315	derekson	mango	привет
2021-12-16 12:36:59.511829	derekson	mango	тут?
2021-12-16 12:46:54.358813	mango	derekson	привет да
2021-12-16 12:46:58.991142	mango	derekson	бро бабло в течении пары часов будет
2021-12-16 12:46:59.769154	mango	derekson	\ждем
2021-12-16 12:47:05.810702	derekson	mango	хорошо
2021-12-16 12:47:08.749355	derekson	mango	но тут другая проблема
2021-12-16 12:47:12.628539	mango	derekson	давай
2021-12-16 12:47:31.979142	derekson	mango	надо бы оплатить сервера, а кому не напишу - нет денег.
2021-12-16 12:47:58.778077	mango	derekson	ждем, щас шефа закинет я пришлю
2021-12-16 12:48:00.283473	mango	derekson	пару часов
2021-12-16 12:48:00.999278	mango	derekson	+-
2021-12-16 12:48:10.926766	derekson	mango	хорошо
2021-12-20 08:29:44.018495	derekson	mango	Привет
2021-12-20 10:33:22.206695	derekson	mango	ping
2021-12-20 10:44:20.743428	mango	derekson	привет
2021-12-20 10:45:05.709787	derekson	mango	оо)
2021-12-20 10:45:11.610117	derekson	mango	оплати пожалуйста сервера
2021-12-20 10:45:22.211641	mango	derekson	давай
2021-12-20 10:45:22.716648	derekson	mango	а то все пустые, осталась надежда только на тебя)
2021-12-20 10:46:03.349928	derekson	mango	0.00218824
2021-12-20 10:46:05.861484	derekson	mango	3LaDs8DLJCSiJDV8RYHGyk4EVjbVRvxC9A
2021-12-20 10:46:12.346463	derekson	mango	и еще один будет
2021-12-20 10:46:49.916328	mango	derekson	ушли
2021-12-20 10:48:19.651108	derekson	mango	+
2021-12-20 10:48:21.242834	derekson	mango	сек
2021-12-20 10:49:11.924600	derekson	mango	0.00084765
2021-12-20 10:49:20.514811	derekson	mango	169J9MvXSjJZUjarG7JXDD8qiQXZS4jj6A
2021-12-20 10:49:42.454612	mango	derekson	готово!
2021-12-20 10:50:16.113869	derekson	mango	спасибо бро
2021-12-20 10:50:28.292266	mango	derekson	да незачто ты че
2021-12-20 10:50:38.591091	mango	derekson	вы сразу кош и сумму кидайте а я закинул как буду
2021-12-20 10:50:45.048517	derekson	mango	хорошо)
2021-12-20 10:50:57.886811	mango	derekson	отойду на часик
2021-12-24 07:22:13.945217	derekson	mango	привет бро
2021-12-24 07:22:29.516348	derekson	mango	оплати пожалуйста впс. 20$
2021-12-24 09:14:16.151773	mango	derekson	привет
2021-12-24 09:14:17.767166	mango	derekson	давай кош
2021-12-24 13:05:47.925191	derekson	mango	впс оплатили, спс
2021-12-24 13:06:30.607967	derekson	mango	сейчас сскину оплату, другой сервер)
2021-12-27 08:05:52.625083	derekson	mango	Привет
2021-12-27 08:05:59.718058	derekson	mango	оплати пожалуйста впс
2021-12-27 09:14:06.913411	mango	derekson	хай
2021-12-27 09:14:25.221078	mango	derekson	а у меня все про ппрежнему :-D стерна нету и бабок 86 баксов
2021-12-27 09:14:43.184049	mango	derekson	нбыло 82, 4 на курсе поднял)))
2021-12-27 10:04:01.217767	derekson	mango	ок))
2021-12-27 10:04:10.042338	derekson	mango	а когда будет что-то?
2021-12-27 12:00:44.787403	mango	derekson	да бля вот сижу жду с среды))))
