Timestamp	From	To	Message
2021-07-20 18:19:54.853004	neo	neo	1
2021-08-10 12:50:55.866363	neo	neo	м
2021-08-11 15:08:35.704575	neo	neo	ур
2021-08-26 12:36:54.208196	neo	neo	ghgh
2021-08-26 12:41:05.061381	neo	neo	vcbb
2021-10-08 17:16:58.026815	neo	neo	аа
2021-11-16 10:20:09.819311	neo	neo	ррр
2021-12-03 12:04:54.863715	neo	neo	вмвм
2022-02-04 08:30:59.801139	neo	neo	f
2022-02-04 09:22:07.418846	neo	neo	3
2022-02-04 09:38:22.143172	neo	neo	3
2022-02-04 18:06:20.999477	neo	neo	3
2022-02-10 14:20:38.196421	neo	neo	привет!
2022-02-10 14:20:42.374767	neo	neo	четко
