Timestamp	From	To	Message
2021-03-15 20:16:08.634943	stern	leo	re
2021-03-15 20:16:10.035450	stern	leo	ку
2021-03-21 20:12:38.293752	stern	leo	привет да
2021-03-21 20:12:49.527804	stern	leo	21yelow21@jabb.im
2021-03-21 20:12:50.921806	stern	leo	добавь к себе
2021-03-21 20:12:59.751580	stern	leo	это самая сильная команда
2021-03-21 20:13:15.733817	stern	leo	с ними только по факту общение, сетки и отчет по ним
2021-03-22 11:03:49.633072	stern	leo	привет да
2021-03-22 11:03:49.634174	stern	leo	21yelow21@jabb.im
2021-03-22 11:03:49.635229	stern	leo	добавь к себе
2021-03-22 11:03:49.636173	stern	leo	это самая сильная команда
2021-03-22 11:03:49.638054	stern	leo	с ними только по факту общение, сетки и отчет по ним
2021-03-22 11:04:45.898777	leo	stern	ку
2021-03-22 17:29:09.111874	leo	stern	ку
2021-03-22 17:34:15.643348	stern	leo	привет
2021-03-22 17:34:22.942543	stern	leo	списался ]\
2021-03-22 17:34:24.350975	stern	leo	&
2021-03-22 17:34:26.517182	stern	leo	?
2021-03-22 17:50:09.698700	stern	leo	привет
2021-03-22 17:50:09.699813	stern	leo	списался ]\
2021-03-22 17:50:09.701070	stern	leo	&
2021-03-22 17:50:09.701799	stern	leo	?
2021-03-22 20:42:02.390020	stern	leo	ждем выхлопа и даем таргета
2021-03-22 20:42:08.177924	stern	leo	я уже отфинансировал норм
2021-03-22 20:42:13.540530	stern	leo	теперь только после результата
2021-04-05 17:45:46.958890	stern	leo	https://privnote.com/HwUsncJi#7cEcdCuTj
2021-04-05 17:45:52.514994	stern	leo	вот еще команда, пускай туда сгружают
2021-04-05 17:45:55.686368	stern	leo	тоже
2021-04-07 06:27:29.577586	stern	leo	https://privnote.com/HwUsncJi#7cEcdCuTj
2021-04-07 06:27:29.579164	stern	leo	вот еще команда, пускай туда сгружают
2021-04-07 06:27:29.580316	stern	leo	тоже
2021-04-21 14:02:47.060473	stern	leo	Привет
2021-04-21 14:02:51.984758	stern	leo	как дела у тебя ?
2021-04-21 14:02:57.675202	stern	leo	есть корпы для hors?
2021-04-21 14:06:05.848831	leo	stern	приветы
2021-04-21 14:06:11.684073	leo	stern	чуть приостановились
2021-04-21 14:06:27.563002	leo	stern	попроси своих плз кого то нам тест сделать по лоадам
2021-04-21 14:06:36.264997	leo	stern	от арматы что то отстук 20%
2021-04-21 14:06:41.236008	leo	stern	нужно понять где проблема
2021-04-21 14:06:43.947429	leo	stern	похер каких
2021-04-21 14:06:48.019301	leo	stern	тока чистых
2021-04-21 14:07:02.901250	leo	stern	и чтоб спам через лоадер
или траф через лоадер и сплоит
или похер как
2021-04-21 14:07:10.176678	leo	stern	ну чтоб там небыло других ботов
2021-04-21 14:07:16.300228	leo	stern	ровное количество
2021-04-21 14:07:30.471248	leo	stern	100-200 ботов чтоб засекли
жеательно с разными машинами и браузерами
2021-04-21 14:09:01.288504	stern	leo	давай может прям с лоадера арматы грузить?
2021-04-21 14:09:37.709944	leo	stern	там же ботов половина тока моя
2021-04-21 14:09:39.285143	leo	stern	помнишь?
2021-04-21 14:09:53.795693	leo	stern	и пока не получит их арендатель нам не будут грузить
2021-04-21 14:10:08.130248	leo	stern	там 500-1к ботов в сутки есть хороших
оттестить тока нужно
у нас же новое все
2021-04-21 14:10:19.533459	leo	stern	поговори со своими чтоб сделать вот тест такой
2021-04-21 14:10:22.918438	leo	stern	похер что за лоады
2021-04-21 14:10:27.233303	leo	stern	тока чтоб там никуя небыло
2021-04-26 18:21:43.745194	stern	leo	Привет
2021-05-01 03:06:39.349006	stern	leo	привет
2021-05-01 03:33:55.332037	leo	stern	привет
2021-05-01 03:34:05.280103	leo	stern	с египтом связаное что то)
2021-05-01 03:34:17.440017	leo	stern	бот наш так назыывают
2021-05-01 03:35:34.315397	stern	leo	я думал у тебя icedld
2021-05-01 03:38:39.009640	stern	leo	у те
2021-05-01 03:38:42.541021	stern	leo	у тебя не анубис
2021-05-01 03:38:49.387910	stern	leo	анубис вобще фигня какая-то
2021-05-01 03:38:52.395241	stern	leo	лоадер с форума
2021-05-01 03:38:55.527322	leo	stern	ну может лоадер
2021-05-01 03:38:58.889644	leo	stern	да хз
2021-05-01 03:39:10.846235	leo	stern	я не ладу не смотрю как что там называется )
2021-05-01 03:39:16.826725	leo	stern	а че спрашиваешь? )
2021-05-01 03:39:22.008589	leo	stern	верне интиресуешься )
2021-05-01 03:39:34.828013	stern	leo	да мне хорс написал)
2021-05-01 03:40:30.344502	leo	stern	и что пишет? )
2021-05-01 03:40:43.483582	leo	stern	если у них анубис то дай им мильен? )
2021-05-01 03:41:33.541154	leo	stern	37.120.222.100:8083, 5+rc/S8M
2021-05-01 03:41:36.731936	leo	stern	зайди на внц
2021-05-01 03:42:15.897159	leo	stern	кодер залупил туда емблему анубиса )
2021-05-01 03:42:20.721382	leo	stern	и надпись
2021-05-01 03:44:06.442508	leo	stern	193.39.185.14:8083, qRaXey8M
2021-05-01 03:44:07.969648	leo	stern	еще
2021-05-01 03:44:17.894208	stern	leo	понятно
2021-05-01 03:44:18.584290	stern	leo	)
2021-05-01 03:44:25.403799	stern	leo	кодер решил от себя отвезти
2021-05-01 03:44:27.901014	stern	leo	и влепил анубис)
2021-05-01 03:44:34.845647	stern	leo	а вобще анубис это лоадер
2021-05-01 03:44:36.793008	stern	leo	с форума
2021-05-01 03:44:41.525569	stern	leo	который в аренду сдается)
2021-05-01 03:44:47.528482	stern	leo	а твой крутой бот ICEDld
2021-05-01 03:44:48.094838	leo	stern	ну флаг им )
2021-05-01 03:44:52.191578	stern	leo	про него пишут исследователи
2021-05-01 03:44:58.773338	stern	leo	что ты сейчас на первом месте)
2021-05-01 03:44:59.708578	leo	stern	не не
2021-05-01 03:45:03.226391	leo	stern	не мое)
2021-05-01 03:45:13.407216	leo	stern	а на первом месте среди чего? )
2021-05-01 03:45:20.908140	stern	leo	ну среди размножений )
2021-05-01 03:45:25.991724	stern	leo	что не твое ? )
2021-05-01 03:45:45.399755	leo	stern	))
2021-05-01 03:45:56.913981	leo	stern	я так не называл )
2021-05-01 03:46:01.705932	leo	stern	айсйди )
2021-05-01 03:46:12.588351	leo	stern	нашли мы наконец качество
2021-05-01 03:46:13.202797	stern	leo	тебя так исследователи назвали )
2021-05-01 03:46:20.930734	stern	leo	идиот )
2021-05-01 03:46:31.262968	stern	leo	нехера не читаешь ничего )
2021-05-01 03:46:33.727553	leo	stern	сказал твоим уже чтоб  саппортам писали )
2021-05-01 03:46:48.573111	leo	stern	а зачем читать то?
2021-05-01 03:46:58.669512	leo	stern	я в школе еще не любил читать
2021-05-01 03:47:02.308246	leo	stern	прям заставляли
2021-05-10 15:53:06.227592	stern	leo	привет
2021-05-10 15:53:08.839585	stern	leo	как дела )
2021-05-10 15:53:10.990401	stern	leo	где загрузки
2021-05-10 17:11:13.667938	stern	leo	привет
2021-05-10 17:11:13.668876	stern	leo	как дела )
2021-05-10 17:11:13.669553	stern	leo	где загрузки
2021-05-11 15:31:42.095591	stern	leo	привет
2021-05-11 15:31:45.954162	stern	leo	как дела
2021-05-11 15:32:41.795415	leo	stern	привет
праздники закончились ждем
2021-05-11 15:32:48.220548	leo	stern	твои таргеты получают
2021-05-11 15:33:06.576098	leo	stern	и хорс и тоскер
2021-05-11 15:33:12.553153	leo	stern	и еще третий кто то нормальный
2021-05-11 15:33:15.782365	leo	stern	с ним не общался я
2021-05-11 15:33:17.449441	leo	stern	сапп тока
2021-05-11 15:35:47.719972	leo	stern	у тоскера вообще там крупняки
2021-05-11 15:35:58.121416	leo	stern	пару выплат ждем даже
2021-05-18 16:49:33.591037	stern	leo	привет отпиши мне
2021-05-19 18:47:12.083446	stern	leo	привет отпиши мне
2021-05-19 18:48:17.621873	leo	stern	привет
2021-05-19 18:48:25.616583	leo	stern	жаббер что то не заходил этот пару дней
2021-05-20 15:09:26.908034	leo	stern	привет
2021-05-20 15:09:26.914253	leo	stern	жаббер что то не заходил этот пару дней
2021-06-08 09:32:10.207259	stern	leo	У кого есть идеи по блокчейну? и криптовалютам, куда идти и что разрабатывать. Кто считает себя гуру в трендах крипты?
2021-06-10 14:24:27.510498	stern	leo	У кого есть идеи по блокчейну? и криптовалютам, куда идти и что разрабатывать. Кто считает себя гуру в трендах крипты?
2021-06-10 14:37:53.466638	leo	stern	ку
2021-06-10 14:37:55.613373	leo	stern	гуру
2021-06-10 14:41:17.030432	leo	stern	ку
2021-06-10 14:41:17.030748	leo	stern	гуру
2021-06-16 13:08:14.341796	stern	leo	
[14:07:09] <Stern> а лео делаешь?
[14:07:12] <Stern> ему надо срочно док
[14:07:19] <many> он не пишет
[14:07:28] <many> пусть напишет
[14:07:57] <many> док 300. а неделя 1200)
