Timestamp	From	To	Message
2020-06-22 09:00:43.121466	hof	defender	привет, скинь плиз новую прокладку на карусель
2020-06-22 09:56:06.972649	hof	defender	скинь плиз новую прокладку на карусель
2020-06-23 12:43:32.103326	hof	defender	привет, полл жалуется на соксы
2020-06-23 12:43:48.641352	hof	defender	может прокладки, сервера, не знаешь кому писать?
2020-06-23 12:45:03.363210	hof	defender	может у них в админке что то не работает
2020-06-24 12:37:27.046467	defender	hof	ЕЩЕ РАЗ ВСЕМ кто не скинул мне свою резервную жабу, скиньте сейчас! Чтобы с вами был контакт если эта жаба накроется. Она сейчас не стабильная. Если аккаунта нет, регайте на любой сервисе exploit.im, xmpp.jp, jabb.im, jabber.ru и других
2020-06-29 09:18:08.850854	hof	defender	привет, закинь плиз новую прокладку на карусель
2020-06-30 09:32:58.123271	hof	defender	привет, закинь плиз новую прокладку на карусель
2020-07-01 13:48:10.102730	hof	defender	привет, посмотри плиз прокладки, долго подключаются боты
2020-07-06 14:05:02.931111	hof	defender	привет
2020-07-14 18:27:07.773165	hof	defender	привет
2020-07-14 18:27:20.499665	hof	defender	а кто у нас граббер поддерживает?
2020-07-14 18:27:23.792704	hof	defender	https://xakep.ru/2020/07/14/trickbot-warning/
2020-07-14 18:27:30.805802	hof	defender	я фигею
2020-07-14 18:27:53.221078	hof	defender	написал стерну, пока молчит
2020-07-16 10:19:09.637686	hof	defender	привет, нужно прокладка на карусель
2020-07-16 11:46:57.955130	hof	defender	привет, нужна прокладка на карусель
2020-07-20 10:15:41.405723	hof	defender	привет, сделай плиз резервную прокладку на карусель
2020-07-20 10:16:03.786016	hof	defender	этапока  еще работает
2020-07-21 10:17:44.298332	hof	defender	приве, отключи плиз tabdll
2020-07-21 10:17:49.617010	hof	defender	палится он
2020-07-23 11:28:35.113765	hof	defender	привет
2020-07-24 12:28:21.016922	hof	defender	привет,закинь плиз новую прокладку на карусель
2020-07-24 16:35:19.188110	defender	hof	
[19:19:32] <defender> вчера залил новые прокладки
[19:19:40] <defender> грин перепрошил их
[19:19:49] <defender> коннект как минимум на одной есть
[19:19:55] <defender> должно все работать
[19:20:19] <defender> пусть багет сделает логированный модуль и все по шагам чтобы видно было
2020-07-27 06:46:50.653679	defender	hof	
[19:19:32] <defender> вчера залил новые прокладки
[19:19:40] <defender> грин перепрошил их
[19:19:49] <defender> коннект как минимум на одной есть
[19:19:55] <defender> должно все работать
[19:20:19] <defender> пусть багет сделает логированный модуль и все по шагам чтобы видно было
2020-07-27 18:12:11.964784	hof	defender	привет, с багетом переписывался, ему приходят странные сообщения вместе с моими
2020-07-27 18:12:16.621423	hof	defender	There is a 25 session minimum for this plan rate. Only 2 sessions can roll over to the next week. Payments are due weekly regardless of attendance.   There is a $500 early cancellation fee if you cancel prior to paying the 13th payments.
2020-07-27 18:12:20.939752	hof	defender	такого плана
2020-07-27 18:29:47.236286	defender	hof	привет, сейчас узнаю
2020-07-28 13:47:18.209194	hof	defender	привет
2020-08-06 10:49:45.383849	hof	defender	привет
2020-08-25 17:55:32.647855	defender	hof	привет, как стороннее длл запустить?
2020-08-27 07:32:29.506117	hof	defender	привет, отключи загрузку injectDll
2020-08-27 07:32:35.123279	hof	defender	на всех ботов
2020-08-27 07:32:47.365734	hof	defender	модуль палится нодом и дефендером
2020-09-07 10:31:11.729001	hof	defender	привет, нужно новому программисту впн выдать
2020-09-07 10:31:19.441988	hof	defender	подскажи, кому писать?
2020-09-07 10:31:44.132204	defender	hof	привет
2020-09-07 10:31:45.806509	defender	hof	strix@
2020-09-18 17:50:45.393977	defender	hof	а ты куда закинул?
