Timestamp	From	To	Message
2020-06-23 08:44:16.992718	stern	salamandra	Как дела с кодерами ?
2020-06-23 08:44:19.581610	stern	salamandra	по поиску
2020-06-23 08:44:42.544600	stern	salamandra	нужны еще 10 человек уже другие
2020-06-23 08:44:43.844126	stern	salamandra	помимо тех
2020-06-23 08:44:44.643351	stern	salamandra	10
2020-06-23 08:44:50.386155	stern	salamandra	нужен результат от тебя
2020-06-23 12:36:01.644717	salamandra	stern	привет ищу кодеров. постоянно скидываю бузе пока не подходят по навыкам
2020-06-23 12:36:33.445324	salamandra	stern	решил по своим пробить еще буза сказал какие конкретно требования
2020-06-23 12:37:34.025274	salamandra	stern	не видел сообщения извиняюсь
2020-06-23 12:38:20.207603	salamandra	stern	а какие требования по новым 10?
2020-06-23 12:52:46.330727	salamandra	stern	привет ищу кодеров. постоянно скидываю бузе пока не подходят по навыкам
2020-06-23 12:52:46.331506	salamandra	stern	решил по своим пробить еще буза сказал какие конкретно требования
2020-06-23 12:52:46.332543	salamandra	stern	не видел сообщения извиняюсь
2020-06-23 12:52:46.333574	salamandra	stern	а какие требования по новым 10?
2020-06-23 13:39:13.456668	stern	salamandra	напиши конкретней
2020-06-23 13:40:12.734310	salamandra	stern	[01:12:54] <buza> суть задачи - это строки 
[01:13:16] <buza> там есть вопрос - какие строки выведутся в окошке 
[01:13:43] <buza> следующее логическое умозаключение - а почему в бинаре я вижу открытым текстом одни строки, а на самом деле в окошке другие? 
[01:14:40] <salamandra> я в этом не секу но могу передать все что ты напишешь. чтоб ему проще было подобрать претендента 
[01:14:59] <buza> и еще один следующий вопрос - а как мне сделать так, чтобы я в исходнике видел настоящие строки, а не шифротекст? 
[01:14:59] <buza> я принимаю тех, кто доходит до постановки третьего вопроса 
[01:15:00] <buza> т.е. не надо решать задачу, надо просто поставить себе вопрос - как так сделать? 
[01:15:07] <buza> вот и передай то что я написал
2020-06-23 13:40:58.261836	salamandra	stern	это комментарии претендентам
2020-06-24 13:24:18.943792	stern	salamandra	ку
2020-06-24 13:24:20.029134	stern	salamandra	привет
