Timestamp	From	To	Message
2020-09-01 21:58:27.083582	mango	viper	привет я от дерека по звонилам
2020-09-02 08:14:21.935971	mango	viper	привет я от дерека по звонилам
2020-09-02 08:38:03.247696	viper	mango	привет
2020-09-02 08:38:14.205623	mango	viper	привет
2020-09-02 08:38:26.116949	mango	viper	если кто будет по звонкам скидывай контакт мне
2020-09-02 08:38:40.050705	viper	mango	ок понял
2020-09-02 08:38:58.863408	viper	mango	а контакт телеги или тут акк делать для новых звонорей?
2020-09-02 08:39:38.150254	mango	viper	телегу
2020-09-02 08:39:48.330369	viper	mango	ок
2021-02-17 10:44:28.520429	mango	viper	привет бро, дай кош и сумму на зп плз
2021-02-17 10:58:15.008631	viper	mango	привет
2021-02-17 10:58:18.602318	viper	mango	bc1q3efl4m2jcr6gk32usxnfyrxh294sr8plmpe3ye
2021-02-17 10:58:58.037336	viper	mango	0.01044083
2021-02-17 11:05:56.954227	mango	viper	готово
2021-02-17 11:06:49.072409	viper	mango	СПАСИБО !!!!
2021-02-17 11:07:07.609633	mango	viper	на связи)
2021-03-31 20:05:49.683158	mango	viper	Привет, давай дам зп! Нужны кош и сумма
2021-04-30 16:33:46.551788	mango	viper	привет бро нужны кош и сумма на зп в битках
2021-04-30 16:35:02.267143	viper	mango	привет сек
2021-04-30 16:38:24.074246	viper	mango	bc1qlafd7lsrwrgfnszh5pl7tzsptcnm7jwz9zvh6a
0.012891
2021-04-30 16:38:44.209028	viper	mango	стой
2021-04-30 16:38:49.472791	viper	mango	не то скопировал
2021-04-30 16:38:53.820792	mango	viper	)
2021-04-30 16:39:43.719745	viper	mango	bc1qlafd7lsrwrgfnszh5pl7tzsptcnm7jwz9zvh6a
0.009512
2021-04-30 16:40:03.085158	mango	viper	готово бро
2021-04-30 16:40:08.164153	mango	viper	с наступающими)
2021-04-30 16:40:30.386258	viper	mango	спс и тебя
2021-05-17 08:01:01.075785	mango	viper	привет! давай дам зп бро
2021-05-17 08:01:19.498052	viper	mango	привет
