Timestamp	From	To	Message
2021-05-11 15:03:16.061654	sticks	mango	привет
2021-05-11 15:21:53.562300	mango	sticks	привет
2021-05-11 15:23:02.008053	sticks	mango	меня випер к тебе отправил по поводу ЗП , почти месяц я с 15.04  , админ
2021-05-11 15:23:12.282476	mango	sticks	+
2021-05-11 15:30:23.466100	sticks	mango	от меня надо тебе что то сообщить?
2021-05-11 15:31:14.582218	sticks	mango	випер говорил что зп 15го и 1го , но если что я 1го не получал
2021-05-11 15:38:31.895340	mango	sticks	я тут
2021-05-11 15:38:41.026657	mango	sticks	от тебя надо еще резервный жаббер
2021-05-11 15:38:45.577828	mango	sticks	на паблик сервере
2021-05-11 15:39:12.155478	mango	sticks	15 получишь за вторую половину апреля и за первую половину мая
2021-05-11 15:39:29.287678	mango	sticks	тебе уже сказали кто твой тимлид?
2021-05-11 15:48:23.226337	sticks	mango	принимал реверс на работу и сказал вроде Alex мой куратор
2021-05-11 15:48:41.485895	mango	sticks	принял
2021-05-17 08:00:37.351165	mango	sticks	привет! давай дам зп!
2021-05-31 12:13:52.895318	mango	sticks	привет повтори плиз
2021-06-15 13:59:57.552508	sticks	mango	Привет , а зп ждать?)
2021-06-15 14:13:11.023992	mango	sticks	привет да давай кош и сумму
2021-06-15 14:20:40.554423	sticks	mango	0.01997033  
1DF9qtzbja79o3yBAmgoX5wdsSSpaPD2mE
2021-06-15 14:30:59.092303	mango	sticks	готово дружище
2021-07-01 16:57:12.826985	sticks	mango	привет , зп можно получить?
2021-07-01 16:57:23.179333	mango	sticks	привет да
2021-07-01 16:59:22.234485	sticks	mango	bc1q4cjrllm405ktv2rm0jsh4ja5k8q9r7vmxfdcne
2021-07-01 17:02:12.987197	mango	sticks	готово бро
2021-07-01 17:11:24.733632	sticks	mango	спс
2021-07-19 11:55:28.536515	sticks	mango	привет, я по зп 

0.02389758
1H4JUerGtbh74dP2e4N2ogmATd5SR47iXN
2021-07-19 12:21:44.546893	mango	sticks	привет бро
