Timestamp	From	To	Message
2020-06-22 09:40:06.141605	defender	derek	Привет, нужно зарегать на какой нибудь другой внешней жабе акк и скинуть мне сюда, это нужно в случае потери этой жабы
2020-06-24 12:38:04.254296	defender	derek	ЕЩЕ РАЗ ВСЕМ кто не скинул мне свою резервную жабу, скиньте сейчас! Чтобы с вами был контакт если эта жаба накроется. Она сейчас не стабильная. Если аккаунта нет, регайте на любой сервисе exploit.im, xmpp.jp, jabb.im, jabber.ru и других
2020-06-25 12:09:39.146314	derek	defender	добавил тебя с двух жаб
2020-06-25 12:09:58.914998	derek	defender	yastreb@exploit.im
2020-06-25 12:10:06.413734	derek	defender	mario2bebi@jabb.im
2021-03-29 19:45:11.511006	derek	defender	привет бро , нужен доступ в фиолетовую к группе yas
2021-04-08 23:05:29.992183	defender	derek	по бк, нет у меня части функционала чтобы сделать новые прокладки и поднять онлайн, завтра у парней все возьму, сам подниму, чтобы у меня все было, на будущее проблем не будет, если что обращайся ко мне
2021-04-08 23:54:58.159726	defender	derek	по бк, нет у меня части функционала чтобы сделать новые прокладки и поднять онлайн, завтра у парней все возьму, сам подниму, чтобы у меня все было, на будущее проблем не будет, если что обращайся ко мне
2021-08-08 20:10:16.921475	defender	derek	привет, работает вроде
2021-08-09 10:34:32.640681	defender	derek	привет, работает вроде
