Timestamp	From	To	Message
2020-10-10 02:44:26.839317	professor	troy	йоу?
2020-10-10 02:44:41.986634	troy	professor	hi
2020-10-10 02:45:22.542431	professor	troy	слу
вот у тебя ферма из титанов
а что по поводу 3090 новых скажешь?
2020-10-10 02:46:02.128624	troy	professor	kakie titani?
2020-10-10 02:46:02.745860	troy	professor	)
2020-10-10 02:46:07.740774	troy	professor	u menya ne titani
2020-10-10 02:46:16.430942	troy	professor	hueta 3090
2020-10-10 02:46:45.258211	professor	troy	а чет я перепутал
думал титаны, похожая какая-то модель знач...
2020-10-10 02:46:48.742107	professor	troy	по названию
лол
2020-10-10 02:46:50.912904	professor	troy	а почему хуета?
2020-10-10 02:47:24.320121	troy	professor	tesla u menya
2020-10-10 02:47:43.678165	troy	professor	ti govorish o igrovih vidyahah
2020-10-10 02:47:50.037423	troy	professor	a u menya profesionalnie
2020-10-10 02:47:58.961660	professor	troy	а цука теслы точно блять
2020-10-10 02:48:00.432227	troy	professor	raznica v cene raz v 20
2020-10-10 02:48:01.510990	professor	troy	вот я еблан
2020-10-10 02:48:03.877245	professor	troy	титаны какие-то
2020-10-10 02:48:04.918662	professor	troy	лол
2020-10-10 02:48:32.778597	troy	professor	moya ferma stoit 1kk$
2020-10-10 02:48:36.418508	troy	professor	😊
2020-10-10 02:48:55.836994	professor	troy	ну вот я подумаю потратиться)
2020-10-10 02:48:58.362140	professor	troy	подумываю то есть
2020-10-10 02:49:18.519541	professor	troy	но на 3090 чет их прям совсем дохуя надо
2020-10-10 02:49:41.485958	troy	professor	a tesli ti ne kupish
2020-10-10 02:49:45.597932	troy	professor	uge vse skupil
2020-10-10 02:49:46.877304	troy	professor	ahahaha
2020-10-10 02:49:49.647123	professor	troy	P40 ?
2020-10-10 02:49:52.432952	professor	troy	да ну брось)
2020-10-10 02:49:54.970196	troy	professor	v100
2020-10-10 02:50:06.069580	troy	professor	serezno
2020-10-10 02:50:11.627650	troy	professor	bez shutok
2020-10-10 02:50:12.080398	professor	troy	а епть
2020-10-10 02:50:51.990833	professor	troy	бля я думал Р40
2020-10-10 02:50:55.932074	professor	troy	теперь v100 хочу
